,Match_URL,Tournament,Team_1,Score_1,Team_2,Score_2
163,/213197/fnatic-vs-team-liquid-champions-tour-2023-emea-league-ubf,Champions Tour 2023: EMEA League,FNATIC,2,Team Liquid,0
164,/197720/enigma-gaming-vs-x10-esports-challengers-league-malaysia-singapore-split-2-lr2,Challengers League Malaysia/Singapore: Split 2,Enigma Gaming,1,X10 Esports,2
165,/181478/gamelab-alpha-vs-mvp-esports-challengers-league-philippines-split-2-playoffs-lr1,Challengers League Philippines: Split 2,GameLab Alpha,0,MVP Esports,2
166,/197719/bleed-vs-kizuna-esports-challengers-league-malaysia-singapore-split-2-uf,Challengers League Malaysia/Singapore: Split 2,BLEED,2,Kizuna Esports,0
167,/216301/lazy-vs-fancy-united-esports-challengers-league-vietnam-split-2-d14,Challengers League Vietnam: Split 2,LAZY,0,Fancy United Esports,2
168,/181477/action-ph-vs-zol-esports-challengers-league-philippines-split-2-playoffs-lr1,Challengers League Philippines: Split 2,Action PH,1,ZOL Esports,2
169,/216300/twokay-vs-team-big-baam-challengers-league-vietnam-split-2-d14,Challengers League Vietnam: Split 2,TwoKay,0,Team Big BAAM,2
170,/209032/maru-gaming-vs-slt-seongam-world-cyber-games-challengers-league-korea-split-2-lf,World Cyber Games Challengers League Korea: Split 2,Maru Gaming,1,SLT Seongnam,3
171,/189056/cloud9-vs-leviat-n-champions-tour-2023-americas-league-lr1,Champions Tour 2023: Americas League,Cloud9,2,Leviatán,1
172,/213199/natus-vincere-vs-giants-gaming-champions-tour-2023-emea-league-lr1,Champions Tour 2023: EMEA League,Natus Vincere,2,Giants Gaming,0
173,/189057/furia-vs-nrg-esports-champions-tour-2023-americas-league-lr1,Champions Tour 2023: Americas League,FURIA,0,NRG Esports,2
174,/213200/fut-esports-vs-team-vitality-champions-tour-2023-emea-league-lr1,Champions Tour 2023: EMEA League,FUT Esports,2,Team Vitality,1
175,/197718/x10-esports-vs-bikini-bottom-pratahouse-challengers-league-malaysia-singapore-split-2-lr1,Challengers League Malaysia/Singapore: Split 2,X10 Esports,2,Bikini Bottom Pratahouse,0
176,/213134/utt-esports-vs-s2-esports-challengers-league-taiwan-hong-kong-split-2-lr1,Challengers League Taiwan/Hong Kong: Split 2,UTT Esports,2,S2 Esports,1
177,/197717/enigma-gaming-vs-teo-teo-teo-challengers-league-malaysia-singapore-split-2-lr1,Challengers League Malaysia/Singapore: Split 2,Enigma Gaming,2,Teo Teo Teo,0
178,/181476/naos-vs-action-ph-challengers-league-philippines-split-2-playoffs-ubsf,Challengers League Philippines: Split 2,NAOS,2,Action PH,0
179,/209031/slt-seongam-vs-incheon-on-sla2ers-world-cyber-games-challengers-league-korea-split-2-lr2,World Cyber Games Challengers League Korea: Split 2,SLT Seongnam,2,Incheon On Sla2ers,1
180,/213133/oblivion-force-vs-roa-esports-challengers-league-taiwan-hong-kong-split-2-lr1,Challengers League Taiwan/Hong Kong: Split 2,Oblivion Force,2,ROA Esports,0
